Product Name,MRP,Qty Unit,Available,Tax %,Description
Salt (namak),Rs 24,1kg,25,0%,Salt — Iodised
Almonds (badam),232.00,250g,80,5,Almonds — California
गेहूं आटा,251.00,,3,0%,Wheat Atta — Chakki fresh
Cashew,Rs. 238/-,250 gm,25,5 %,Cashew — W320 grade
Besan,85,1kg,8,5%,Besan — Fine
COFFEE POWDER,188.00,,0,,Coffee Powder — 80:20 chicory blend
moong daal,149,1 kg,25,0 %,"Moong Dal — Split, yellow"
doodh,Rs. 63/-,1 L,25,0%,Milk — Toned
Red Chilli Powder,89.00,200 gram,15,5 %,Red Chilli Powder — Guntur
Sugar,Rs. 46/-,kg,40,5 %,Sugar — Sulphur-free
Toor Dal,₹143,kg,15,0,Toor Dal — Unpolished
Tea Leaves (chai patti),₹112,250 gram,3,5,Tea Leaves — Assam CTC
गुड़,80.00,1 kg,15,0,Jaggery — Chemical-free
Sunflower Oil,Rs 139,litre,40,5%,"Sunflower Oil — Refined, low absorb"
haldi,Rs 78,200 gram,25,5,Turmeric Powder — High curcumin
Ghee,Rs. 617/-,litre,15,12 %,"Ghee — Cow ghee, granular"
Basmati Rice,119,1kg,15,5%,"Basmati Rice — Long grain, aged 12 months"
curd,Rs. 38/-,400 gram,40,0 %,Curd — Set curd
Chana Dal,101,1kg,40,0%,Chana Dal — Bold grain
पोहा,64,kilo,0,0,Poha — Thick variety
