Product Name,MRP,Qty Unit,Available,Tax %,Description
sarson ka tel,₹196,,0,5,Mustard Oil — Kachi ghani
sugar,Rs. 41/-,1 kg,80,5,Sugar — Sulphur-free
ghee,Rs 624,1 L,150,12 %,"Ghee — Cow ghee, granular"
Chana Dal (chane ki dal),₹87,kilo,8,0,Chana Dal — Bold grain
Curd,42,400g,40,0,Curd — Set curd
नमक,22,kg,in stock,0,Salt — Iodised
milk,65,,,,Milk — Toned
Wheat Atta (gehu ka atta),Rs 248,5 kg,150,,Wheat Atta — Chakki fresh
kidney beans,147.00,1kg,8,0,Rajma — Chitra
Besan,Rs. 102/-,kg,25,5 %,Besan — Fine
बादाम,214.00,250 gm,3,5,Almonds — California
kaju,₹251,250 gm,150,5%,Cashew — W320 grade
Moong Dal (moong daal),₹144,kg,8,,"Moong Dal — Split, yellow"
Coffee Powder,Rs 195,200 gm,150,,Coffee Powder — 80:20 chicory blend
Poha (chivda),Rs 62,1 kg,y,0,Poha — Thick variety
lal mirch,Rs 75,200 gm,40,,Red Chilli Powder — Guntur
सूरजमुखी तेल,154,1l,8,,"Sunflower Oil — Refined, low absorb"
Basmati Rice,Rs. 101/-,kilo,8,5,"Basmati Rice — Long grain, aged 12 months"
JAGGERY,₹81,kg,15,0 %,Jaggery — Chemical-free
TURMERIC POWDER,69,200 gram,8,5,Turmeric Powder — High curcumin
chai patti,₹134,250g,y,5%,Tea Leaves — Assam CTC
