naam,rate,unit,stock,gst,Description
दूध,67.00,1 L,8,0%,Milk — Toned
Turmeric Powder,Rs 78,200g,8,5%,Turmeric Powder — High curcumin
gram flour,93,kilo,40,5%,Besan — Fine
Coffee Powder,Rs. 204/-,200 gm,0,18,Coffee Powder — 80:20 chicory blend
CHANA DAL,₹90,1 kg,3,0 %,Chana Dal — Bold grain
chivda,58,Kg,40,0%,Poha — Thick variety
Mustard Oil,191.00,1 L,0,5%,Mustard Oil — Kachi ghani
kidney beans,Rs 160,Kg,150,0,Rajma — Chitra
lal mirch,86.00,200 gm,80,5,Red Chilli Powder — Guntur
surajmukhi tel,Rs 158,,40,5%,"Sunflower Oil — Refined, low absorb"
Wheat Atta (gehu ka atta),Rs. 229/-,kilo,15,0 %,Wheat Atta — Chakki fresh
Moong Dal,127,1kg,15,0,"Moong Dal — Split, yellow"
chai patti,₹137,250 gram,80,5,Tea Leaves — Assam CTC
Salt,Rs 25,Kg,0,0%,Salt — Iodised
Cashew,Rs 280,250 gm,15,5 %,Cashew — W320 grade
basmati chawal,Rs 111,kg,25,5%,"Basmati Rice — Long grain, aged 12 months"
गुड़,Rs. 72/-,kilo,3,0 %,Jaggery — Chemical-free
sugar,43,Kg,3,5,Sugar — Sulphur-free
desi ghee,Rs 609,ltr,80,12%,"Ghee — Cow ghee, granular"
badam,247.00,250g,0,,Almonds — California
Curd,37,400 gm,3,0 %,Curd — Set curd
