Item,Price,Unit,Stock,GST,Description
Bluetooth Speaker,Rs 1840,pc,0,18 %,Bluetooth Speaker — IPX7
charger,Rs 577,piece,80,18,20W Wall Charger — PD 3.0
keyboard,867,pcs,40,18,Keyboard — Compact
extension,Rs 558,pcs,25,18 %,"Extension Board — 4 socket, surge"
earbuds,Rs 1444,nos,80,18%,Wireless Earbuds — 30 h playtime
webcam,1622.00,pc,0,18%,Webcam 1080p — Auto focus
Car Charger,492.00,piece,25,18,Car Charger — Dual port
स्क्रीन गार्ड,135,pc,40,18%,Tempered Glass — 9H
Pen Drive 32GB (pendrive),Rs 367,pc,15,18%,Pen Drive 32GB — USB 3.0
HDMI Cable 2m,Rs 346,nos,8,18%,HDMI Cable 2m — 4K 60 Hz
mouse,Rs. 569/-,pcs,8,,Wireless Mouse — Silent click
Power Bank 10000mAh (power bank),₹1118,pc,3,18 %,Power Bank 10000mAh — 22.5 W
mobile stand,₹273,pc,150,18,Phone Stand — Foldable
Smart Watch Strap (watch strap),Rs 289,nos,3,18 %,Smart Watch Strap — Silicone
नेकबैंड,₹916,1 pc,3,18,Neckband — Magnetic
USB-C Cable 1m,266.00,1 pc,150,18 %,"USB-C Cable 1m — 60 W, braided"
लैपटॉप स्लीव,731,piece,3,18,Laptop Sleeve 14in — Water resistant
phone case,222.00,nos,8,18,Phone Case — Shockproof
Memory Card 64GB,Rs 730,pcs,40,18 %,Memory Card 64GB — A1 U3
